Date : 2024-06-25 14:25:31
Directory : c:\Users\colin\OneDrive\Documents\Projects\JJKBattlegrounds
Total : 770 files,  43166 codes, 2759 comments, 10808 blanks, all 56733 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur                                                                                                            |        228 |      6,450 |         83 |      1,696 |      8,229 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur (Files)                                                                                                    |          6 |        307 |          1 |         39 |        347 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\lib                                                                                                        |        211 |      6,054 |         78 |      1,618 |      7,750 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\lib (Files)                                                                                                |         24 |        997 |         40 |        340 |      1,377 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\lib\Enum                                                                                                   |         30 |        528 |          0 |         35 |        563 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\lib\functions                                                                                              |          9 |        179 |          0 |         51 |        230 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\lib\functions (Files)                                                                                      |          7 |        106 |          0 |         28 |        134 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\lib\functions\settings                                                                                     |          2 |         73 |          0 |         23 |         96 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\lib\instances                                                                                              |        121 |      3,130 |         18 |        840 |      3,988 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\lib\libs                                                                                                   |          7 |        186 |          7 |         35 |        228 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\lib\taskFunctions                                                                                          |          7 |        141 |          0 |         37 |        178 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\lib\types                                                                                                  |         13 |        893 |         13 |        280 |      1,186 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\spec                                                                                                       |         11 |         89 |          4 |         39 |        132 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\spec (Files)                                                                                               |          2 |         84 |          0 |         39 |        123 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\spec\require                                                                                               |          5 |          5 |          0 |          0 |          5 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\spec\require (Files)                                                                                       |          4 |          4 |          0 |          0 |          4 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\spec\require\bar                                                                                           |          1 |          1 |          0 |          0 |          1 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\spec\test-project                                                                                          |          4 |          0 |          4 |          0 |          4 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\spec\test-project (Files)                                                                                  |          1 |          0 |          1 |          0 |          1 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\spec\test-project\normal-folder                                                                            |          1 |          0 |          1 |          0 |          1 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\spec\test-project\usurp                                                                                    |          2 |          0 |          2 |          0 |          2 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\src                                                                                                                      |         14 |      1,313 |         80 |        348 |      1,741 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\src (Files)                                                                                                              |         11 |      1,084 |         75 |        277 |      1,436 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\src\Reporters                                                                                                            |          3 |        229 |          5 |         71 |        305 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\test                                                                                                                     |          3 |         95 |         17 |         34 |        146 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\testez-cli                                                                                                               |         20 |        890 |         57 |        255 |      1,202 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\testez-cli (Files)                                                                                                       |          3 |         90 |          1 |         33 |        124 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\testez-cli\src                                                                                                           |         17 |        800 |         56 |        222 |      1,078 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\testez-cli\src (Files)                                                                                                   |         10 |        533 |         52 |        144 |        729 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\testez-cli\src\targets                                                                                                   |          3 |        204 |          2 |         53 |        259 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\testez-cli\src\tools                                                                                                     |          4 |         63 |          2 |         25 |         90 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\tests                                                                                                                    |         22 |        691 |         25 |        128 |        844 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\tests (Files)                                                                                                            |          6 |        535 |          5 |         92 |        632 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\tests\failing                                                                                                            |          5 |         38 |          5 |          6 |         49 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\tests\passing                                                                                                            |          8 |         89 |         10 |         19 |        118 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\tests\planning                                                                                                           |          3 |         29 |          5 |         11 |         45 |
| Packages\_Index\howmanysmall_janitor@1.15.7                                                                                                                                          |          8 |        707 |         37 |        166 |        910 |
| Packages\_Index\howmanysmall_janitor@1.15.7 (Files)                                                                                                                                  |          1 |          1 |          0 |          1 |          2 |
| Packages\_Index\howmanysmall_janitor@1.15.7\janitor                                                                                                                                  |          7 |        706 |         37 |        165 |        908 |
| Packages\_Index\howmanysmall_janitor@1.15.7\janitor (Files)                                                                                                                          |          6 |        131 |          3 |          5 |        139 |
| Packages\_Index\howmanysmall_janitor@1.15.7\janitor\src                                                                                                                              |          1 |        575 |         34 |        160 |        769 |
| Packages\_Index\m-ethods_topbarplus@3.0.5                                                                                                                                            |         23 |      3,600 |        436 |        454 |      4,490 |
| Packages\_Index\m-ethods_topbarplus@3.0.5\topbarplus                                                                                                                                 |         23 |      3,600 |        436 |        454 |      4,490 |
| Packages\_Index\m-ethods_topbarplus@3.0.5\topbarplus (Files)                                                                                                                         |         10 |      1,587 |        238 |        247 |      2,072 |
| Packages\_Index\m-ethods_topbarplus@3.0.5\topbarplus\Elements                                                                                                                        |          8 |      1,280 |         50 |        123 |      1,453 |
| Packages\_Index\m-ethods_topbarplus@3.0.5\topbarplus\Features                                                                                                                        |          5 |        733 |        148 |         84 |        965 |
| Packages\_Index\m-ethods_topbarplus@3.0.5\topbarplus\Features (Files)                                                                                                                |          2 |        394 |         70 |         48 |        512 |
| Packages\_Index\m-ethods_topbarplus@3.0.5\topbarplus\Features\Themes                                                                                                                 |          3 |        339 |         78 |         36 |        453 |
| Packages\_Index\sleitnick_net@0.2.0                                                                                                                                                  |          2 |        160 |         13 |         27 |        200 |
| Packages\_Index\sleitnick_net@0.2.0\net                                                                                                                                              |          2 |        160 |         13 |         27 |        200 |
| Packages\_Index\sleitnick_signal@2.0.1                                                                                                                                               |          3 |        485 |         55 |         81 |        621 |
| Packages\_Index\sleitnick_signal@2.0.1\signal                                                                                                                                        |          3 |        485 |         55 |         81 |        621 |
| Packages\_Index\surnautica_profileservice@1.0.0                                                                                                                                      |          3 |      1,907 |        179 |        348 |      2,434 |
| Packages\_Index\surnautica_profileservice@1.0.0\profileservice                                                                                                                       |          3 |      1,907 |        179 |        348 |      2,434 |
| Packages\_Index\surnautica_profileservice@1.0.0\profileservice (Files)                                                                                                               |          2 |         18 |          0 |          1 |         19 |
| Packages\_Index\surnautica_profileservice@1.0.0\profileservice\src                                                                                                                   |          1 |      1,889 |        179 |        347 |      2,415 |
| Tests                                                                                                                                                                                |          1 |         29 |          0 |         11 |         40 |
| Tests\Server                                                                                                                                                                         |          1 |         29 |          0 |         11 |         40 |
| Tests\Server\Components                                                                                                                                                              |          1 |         29 |          0 |         11 |         40 |
| Vendor                                                                                                                                                                               |          4 |        561 |         40 |        127 |        728 |
| Vendor (Files)                                                                                                                                                                       |          1 |        217 |          4 |         36 |        257 |
| Vendor\CameraShaker                                                                                                                                                                  |          3 |        344 |         36 |         91 |        471 |
| docs                                                                                                                                                                                 |          2 |         39 |          0 |         21 |         60 |
| src                                                                                                                                                                                  |        284 |     14,039 |      1,044 |      4,310 |     19,393 |
| src\Client                                                                                                                                                                           |         17 |        506 |         10 |        170 |        686 |
| src\Client\Actions                                                                                                                                                                   |          5 |        200 |          8 |         66 |        274 |
| src\Client\Actions\Components                                                                                                                                                        |          1 |         40 |          0 |         12 |         52 |
| src\Client\Actions\Jobs                                                                                                                                                              |          4 |        160 |          8 |         54 |        222 |
| src\Client\Camera                                                                                                                                                                    |          5 |        103 |          0 |         41 |        144 |
| src\Client\Camera\Components                                                                                                                                                         |          2 |         39 |          0 |         16 |         55 |
| src\Client\Camera\Jobs                                                                                                                                                               |          3 |         64 |          0 |         25 |         89 |
| src\Client\Camera\Jobs (Files)                                                                                                                                                       |          1 |         18 |          0 |          7 |         25 |
| src\Client\Camera\Jobs\UpdateCamera                                                                                                                                                  |          2 |         46 |          0 |         18 |         64 |
| src\Client\Cmdr                                                                                                                                                                      |          1 |          6 |          0 |          4 |         10 |
| src\Client\Cmdr\Jobs                                                                                                                                                                 |          1 |          6 |          0 |          4 |         10 |
| src\Client\Player                                                                                                                                                                    |          3 |         44 |          1 |         18 |         63 |
| src\Client\Player\Jobs                                                                                                                                                               |          2 |         34 |          0 |         12 |         46 |
| src\Client\Player\Modules                                                                                                                                                            |          1 |         10 |          1 |          6 |         17 |
| src\Client\UI                                                                                                                                                                        |          3 |        153 |          1 |         41 |        195 |
| src\Server                                                                                                                                                                           |        236 |     12,355 |      1,001 |      3,782 |     17,138 |
| src\Server\Actions                                                                                                                                                                   |          6 |        177 |          0 |         70 |        247 |
| src\Server\Actions\Jobs                                                                                                                                                              |          4 |        110 |          0 |         47 |        157 |
| src\Server\Actions\Modules                                                                                                                                                           |          2 |         67 |          0 |         23 |         90 |
| src\Server\Cmdr                                                                                                                                                                      |         15 |        233 |          8 |         65 |        306 |
| src\Server\Cmdr\Commands                                                                                                                                                             |         12 |        209 |          0 |         55 |        264 |
| src\Server\Cmdr\Hooks                                                                                                                                                                |          1 |          4 |          7 |          1 |         12 |
| src\Server\Cmdr\Jobs                                                                                                                                                                 |          1 |          9 |          1 |          6 |         16 |
| src\Server\Cmdr\Types                                                                                                                                                                |          1 |         11 |          0 |          3 |         14 |
| src\Server\Fighters                                                                                                                                                                  |        173 |     11,062 |        948 |      3,333 |     15,343 |
| src\Server\Fighters\Components                                                                                                                                                       |          1 |         18 |          0 |          7 |         25 |
| src\Server\Fighters\DefaultActionSet                                                                                                                                                 |         20 |      1,337 |          8 |        344 |      1,689 |
| src\Server\Fighters\DefaultActionSet (Files)                                                                                                                                         |          1 |         13 |          0 |          5 |         18 |
| src\Server\Fighters\DefaultActionSet\Attack                                                                                                                                          |          9 |        643 |          6 |        169 |        818 |
| src\Server\Fighters\DefaultActionSet\Attack\Client                                                                                                                                   |          2 |         94 |          0 |         24 |        118 |
| src\Server\Fighters\DefaultActionSet\Attack\Client (Files)                                                                                                                           |          1 |         76 |          0 |         16 |         92 |
| src\Server\Fighters\DefaultActionSet\Attack\Client\Jobs                                                                                                                              |          1 |         18 |          0 |          8 |         26 |
| src\Server\Fighters\DefaultActionSet\Attack\Server                                                                                                                                   |          7 |        549 |          6 |        145 |        700 |
| src\Server\Fighters\DefaultActionSet\Attack\Server (Files)                                                                                                                           |          5 |        525 |          6 |        134 |        665 |
| src\Server\Fighters\DefaultActionSet\Attack\Server\Combo                                                                                                                             |          2 |         24 |          0 |         11 |         35 |
| src\Server\Fighters\DefaultActionSet\Block                                                                                                                                           |          2 |        146 |          1 |         31 |        178 |
| src\Server\Fighters\DefaultActionSet\Block\Client                                                                                                                                    |          1 |         51 |          0 |         12 |         63 |
| src\Server\Fighters\DefaultActionSet\Block\Server                                                                                                                                    |          1 |         95 |          1 |         19 |        115 |
| src\Server\Fighters\DefaultActionSet\Dash                                                                                                                                            |          8 |        535 |          1 |        139 |        675 |
| src\Server\Fighters\DefaultActionSet\Dash\Client                                                                                                                                     |          6 |        380 |          1 |         98 |        479 |
| src\Server\Fighters\DefaultActionSet\Dash\Client (Files)                                                                                                                             |          1 |        232 |          1 |         49 |        282 |
| src\Server\Fighters\DefaultActionSet\Dash\Client\VFX                                                                                                                                 |          5 |        148 |          0 |         49 |        197 |
| src\Server\Fighters\DefaultActionSet\Dash\Modules                                                                                                                                    |          1 |         24 |          0 |          8 |         32 |
| src\Server\Fighters\DefaultActionSet\Dash\Server                                                                                                                                     |          1 |        131 |          0 |         33 |        164 |
| src\Server\Fighters\Hakari                                                                                                                                                           |         43 |      2,828 |        383 |        919 |      4,130 |
| src\Server\Fighters\Hakari (Files)                                                                                                                                                   |          1 |          4 |          0 |          1 |          5 |
| src\Server\Fighters\Hakari\AscendedActionSet                                                                                                                                         |         21 |      1,411 |        325 |        485 |      2,221 |
| src\Server\Fighters\Hakari\AscendedActionSet (Files)                                                                                                                                 |          1 |         16 |          0 |          6 |         22 |
| src\Server\Fighters\Hakari\AscendedActionSet\Cargo                                                                                                                                   |          5 |        349 |         81 |        119 |        549 |
| src\Server\Fighters\Hakari\AscendedActionSet\Cargo (Files)                                                                                                                           |          1 |          3 |          0 |          1 |          4 |
| src\Server\Fighters\Hakari\AscendedActionSet\Cargo\Client                                                                                                                            |          2 |        102 |         21 |         34 |        157 |
| src\Server\Fighters\Hakari\AscendedActionSet\Cargo\Client (Files)                                                                                                                    |          1 |         38 |         16 |         15 |         69 |
| src\Server\Fighters\Hakari\AscendedActionSet\Cargo\Client\Jobs                                                                                                                       |          1 |         64 |          5 |         19 |         88 |
| src\Server\Fighters\Hakari\AscendedActionSet\Cargo\Server                                                                                                                            |          2 |        244 |         60 |         84 |        388 |
| src\Server\Fighters\Hakari\AscendedActionSet\Derail                                                                                                                                  |          5 |        348 |         82 |        120 |        550 |
| src\Server\Fighters\Hakari\AscendedActionSet\Derail (Files)                                                                                                                          |          1 |          3 |          0 |          1 |          4 |
| src\Server\Fighters\Hakari\AscendedActionSet\Derail\Client                                                                                                                           |          2 |        102 |         21 |         34 |        157 |
| src\Server\Fighters\Hakari\AscendedActionSet\Derail\Client (Files)                                                                                                                   |          1 |         38 |         16 |         15 |         69 |
| src\Server\Fighters\Hakari\AscendedActionSet\Derail\Client\Jobs                                                                                                                      |          1 |         64 |          5 |         19 |         88 |
| src\Server\Fighters\Hakari\AscendedActionSet\Derail\Server                                                                                                                           |          2 |        243 |         61 |         85 |        389 |
| src\Server\Fighters\Hakari\AscendedActionSet\PachinkoTransformation                                                                                                                  |          5 |        349 |         81 |        120 |        550 |
| src\Server\Fighters\Hakari\AscendedActionSet\PachinkoTransformation (Files)                                                                                                          |          1 |          3 |          0 |          1 |          4 |
| src\Server\Fighters\Hakari\AscendedActionSet\PachinkoTransformation\Client                                                                                                           |          2 |        102 |         21 |         34 |        157 |
| src\Server\Fighters\Hakari\AscendedActionSet\PachinkoTransformation\Client (Files)                                                                                                   |          1 |         38 |         16 |         15 |         69 |
| src\Server\Fighters\Hakari\AscendedActionSet\PachinkoTransformation\Client\Jobs                                                                                                      |          1 |         64 |          5 |         19 |         88 |
| src\Server\Fighters\Hakari\AscendedActionSet\PachinkoTransformation\Server                                                                                                           |          2 |        244 |         60 |         85 |        389 |
| src\Server\Fighters\Hakari\AscendedActionSet\Pursuit                                                                                                                                 |          5 |        349 |         81 |        120 |        550 |
| src\Server\Fighters\Hakari\AscendedActionSet\Pursuit (Files)                                                                                                                         |          1 |          3 |          0 |          1 |          4 |
